Raw.file	Experiment	Enzyme	Enzyme.mode	Enzyme.first.search	Enzyme.mode.first.search	Use.enzyme.first.search	Variable.modifications	Multi.modifications	Variable.modifications.first.search	Use.variable.modifications.first.search	Requantify	Multiplicity	Max..missed.cleavages	Labels0	LC.MS.run.type	Time.dependent.recalibration	MS	MS.MS	MS3	MS.MS.Submitted	MS.MS.Submitted..SIL.	MS.MS.Submitted..ISO.	MS.MS.Submitted..PEAK.	MS.MS.Identified	MS.MS.Identified..SIL.	MS.MS.Identified..ISO.	MS.MS.Identified..PEAK.	MS.MS.Identified....	MS.MS.Identified..SIL.....	MS.MS.Identified..ISO.....	MS.MS.Identified..PEAK.....	Peptide.Sequences.Identified	Peaks	Peaks.Sequenced	Peaks.Sequenced....	Peaks.Repeatedly.Sequenced	Peaks.Repeatedly.Sequenced....	Isotope.Patterns	Isotope.Patterns.Sequenced	Isotope.Patterns.Sequenced..z.1.	Isotope.Patterns.Sequenced....	Isotope.Patterns.Sequenced..z.1.....	Isotope.Patterns.Repeatedly.Sequenced	Isotope.Patterns.Repeatedly.Sequenced....	Recalibrated	Av..Absolute.Mass.Deviation..ppm.	Mass.Standard.Deviation..ppm.	Av..Absolute.Mass.Deviation..mDa.	Mass.Standard.Deviation..mDa.	Label.free.norm.param
161213q03_qx01	AE010159-22	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8947	53985	0	68549	39421	0	29128	6775	6612	0	163	9.88	16.77	NA	0.56	3647	903652	48292	5.34	1523	3.15	106876	35364	33042	33.09	41.15	3292	9.31	+	0.48714	0.67282	0.37245	0.56042	NA
161213q03_qx02	AD667889-22	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8684	55039	0	69952	40124	0	29828	7626	7369	0	257	10.9	18.37	NA	0.86	3847	913975	48896	5.35	1726	3.53	107145	35741	33359	33.36	40.96	3535	9.89	+	0.48555	0.68682	0.37671	0.58529	NA
161213q03_qx03	AD467898-28	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8576	55473	0	70628	40318	0	30310	7865	7680	0	185	11.14	19.05	NA	0.61	4008	905424	49278	5.44	1631	3.31	107683	36107	33765	33.53	40.89	3434	9.51	+	0.50333	0.7116	0.38987	0.59999	NA
161213q03_qx04	Reference-L	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8621	55221	0	70637	39803	0	30834	7144	6969	0	175	10.11	17.51	NA	0.57	3700	920909	49170	5.34	1505	3.06	107649	35822	33414	33.28	40.98	3272	9.13	+	0.50422	0.71037	0.39114	0.59943	NA
161213q03_qx05	AD486324-23	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8462	55831	0	71111	40551	0	30560	7689	7444	0	245	10.81	18.36	NA	0.8	3911	906842	49888	5.5	1614	3.24	108469	36396	33924	33.55	41.23	3354	9.22	+	0.50012	0.70904	0.38851	0.60244	NA
161213q03_qx06	AD467092-28	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8554	55586	0	71421	39749	0	31672	7979	7682	0	297	11.17	19.33	NA	0.94	3951	915653	49347	5.39	1607	3.26	107505	35634	33344	33.15	40.46	3364	9.44	+	0.50224	0.71008	0.38664	0.58965	NA
161213q03_qx07	AD467928-16	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8707	55051	0	70901	39201	0	31700	7377	7144	0	233	10.4	18.22	NA	0.74	3697	932339	48950	5.25	1444	2.95	110680	35385	33062	31.97	39.52	3143	8.88	+	0.53027	0.74607	0.41454	0.63662	NA
161213q03_qx08	AD467897-28	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8506	55885	0	71047	40723	0	30324	7982	7735	0	247	11.23	18.99	NA	0.81	3845	881476	49830	5.65	1611	3.23	108134	36548	34232	33.8	41	3361	9.2	+	0.51071	0.72812	0.39857	0.6111	NA
161213q03_qx09	Reference-G	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8936	54071	0	69120	39020	0	30100	6501	6364	0	137	9.41	16.31	NA	0.46	3568	920581	48135	5.23	1449	3.01	107709	35281	33025	32.76	41.02	3076	8.72	+	0.50241	0.70254	0.39062	0.60236	NA
161213q03_qx10	AD486564-22	Trypsin/P	Specific	NA	NA	False	Oxidation (M);Acetyl (Protein N-term)	NA	NA	False	False	1	2	NA	Standard	NA	8699	54988	0	70446	39528	0	30918	7328	7127	0	201	10.4	18.03	NA	0.65	3693	869137	48969	5.63	1535	3.13	106572	35585	33337	33.39	40.94	3187	8.96	+	0.51807	0.72015	0.4018	0.60619	NA
