Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
140808q05_qx01	Unstimulated6D090	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		18117	12736	15223	10249	0	4974	2533	2504	0	29	16.64	24.43	NaN	0.58	2148	1658617	11945	0.72	306	2.56	108823	9584	8945	8.81	23.48	533	5.56	+	0.75136	0.9325	0.49505	0.63961	
140808q05_qx02	Stimulated6D090	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		16109	17695	21080	14310	0	6770	3748	3688	0	60	17.78	25.77	NaN	0.89	3156	1634931	16755	1.02	299	1.78	121559	13541	12756	11.14	25.8	655	4.84	+	0.75491	0.94017	0.49211	0.6308	
140808q05_qx03	Unstimulated18D090	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		13805	23507	28896	18118	0	10778	5949	5802	0	147	20.59	32.02	NaN	1.36	5021	1426089	22121	1.55	319	1.44	113027	17149	16202	15.17	29.36	858	5	+	0.75351	0.96631	0.51149	0.68382	
140808q05_qx04	Stimulated18D090	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		12126	28032	33501	22563	0	10938	7931	7752	0	179	23.67	34.36	NaN	1.64	6712	1337503	26438	1.98	434	1.64	122263	21343	20389	17.46	32.2	1049	4.91	+	0.71185	0.93017	0.47455	0.64719	
140808q05_qx05	Stimulated6D003	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		14249	22525	26851	18199	0	8652	4976	4865	0	111	18.53	26.73	NaN	1.28	4152	1508109	21299	1.41	363	1.7	123557	17209	16183	13.93	29.54	855	4.97	+	0.76484	0.97338	0.51182	0.67875	
140808q05_qx06	Unstimulated6D003	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		16951	15685	18193	13177	0	5016	3361	3302	0	59	18.47	25.06	NaN	1.18	2788	1621130	14958	0.92	295	1.97	122104	12499	11804	10.24	24.57	572	4.58	+	0.67176	0.86015	0.43063	0.56899	
140808q05_qx07	Unstimulated18D003	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		17855	13480	15089	11871	0	3218	3669	3614	0	55	24.32	30.44	NaN	1.71	3137	1548816	13034	0.84	214	1.64	108675	11367	10795	10.46	21.6	422	3.71	+	0.63992	0.81837	0.39826	0.52392	
140808q05_qx08	Stimulated18D003	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		15012	20645	23036	18254	0	4782	5667	5585	0	82	24.6	30.6	NaN	1.71	4831	1476844	19941	1.35	322	1.61	122199	17404	16605	14.24	25.53	723	4.15	+	0.65257	0.85426	0.41067	0.54997	
140808q05_qx09	Unstimulated18D122	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		18454	11862	13249	10475	0	2774	3054	3016	0	38	23.05	28.79	NaN	1.37	2578	1623084	11188	0.69	366	3.27	112954	9750	9210	8.63	20.74	536	5.5	+	0.6264	0.78552	0.39226	0.50654	
140808q05_qx10	Stimulated18D122	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		18153	12737	14252	11222	0	3030	3926	3871	0	55	27.55	34.49	NaN	1.82	3375	1553420	12255	0.79	229	1.87	107156	10745	10223	10.03	21.59	393	3.66	+	0.62593	0.80909	0.38871	0.51939	
